routingNumber,bankName,districtName,branchName
10010048,AGRANI BANK LTD,BAGERHAT,BADHAL BAZAR
10010064,AGRANI BANK LTD,BAGERHAT,BHANGA BAZAR
10010077,AGRANI BANK LTD,BAGERHAT,BAGERHAT
10010280,AGRANI BANK LTD,BAGERHAT,CHULKATI BAZAR
10010372,AGRANI BANK LTD,BAGERHAT,DEYPARA BAZAR
10010619,AGRANI BANK LTD,BAGERHAT,GOALMATH
10010677,AGRANI BANK LTD,BAGERHAT,HERMA BAZAR
10010701,AGRANI BANK LTD,BAGERHAT,JATRAPUR BAZAR
10010851,AGRANI BANK LTD,BAGERHAT,MAIN ROAD
10010972,AGRANI BANK LTD,BAGERHAT,MONGLA PORT
10011034,AGRANI BANK LTD,BAGERHAT,MORELGANJ
10011063,AGRANI BANK LTD,BAGERHAT,MUNIGANJ
10011126,AGRANI BANK LTD,BAGERHAT,POLERHAT BAZAR
10011276,AGRANI BANK LTD,BAGERHAT,SANNASHY BAZAR
10030073,AGRANI BANK LTD,BANDARBAN,AZIZ NAGAR
10030165,AGRANI BANK LTD,BANDARBAN,BANDARBAN BAZAR
10040047,AGRANI BANK LTD,BARGUNA,AMTALI
10040139,AGRANI BANK LTD,BARGUNA,BARGUNA
10040371,AGRANI BANK LTD,BARGUNA,GAZIPURHAT
10040492,AGRANI BANK LTD,BARGUNA,KAKCHIRA
10040526,AGRANI BANK LTD,BARGUNA,KAUNIA
10040647,AGRANI BANK LTD,BARGUNA,NALIBANDAR
10040739,AGRANI BANK LTD,BARGUNA,TALTALI BAZAR
10060056,AGRANI BANK LTD,BARISHAL,DHAMURA BANDAR
10060085,AGRANI BANK LTD,BARISHAL,RAHUTHKATI BANDAR
10060148,AGRANI BANK LTD,BARISHAL,RANIR HAT
10060177,AGRANI BANK LTD,BARISHAL,SATLA BAZAR
10060256,AGRANI BANK LTD,BARISHAL,BANARI PARA
10060377,AGRANI BANK LTD,BARISHAL,BATAJORE
10060522,AGRANI BANK LTD,BARISHAL,BOTTALA
10060551,AGRANI BANK LTD,BARISHAL,BUKHAI NAGAR
